country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Malaysia,0,0,0,0,0,48.6,0,0,47,0,46.2,0,0,47.7,0,0,48.5,0,49.1,0,0,0,0,0,0,46.1,0,0,46.1,0,46.3,0,0,0,0,0,0,
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3,0,0,0,0,0,0,38.4,0,0,0,0,0,0,
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4,0,0,0,0,0,0,39.9,0,0,0,0,38.9,0,0,33,0,0,0,0,0,0,
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29.2,29,30.2,29,29.1,29.4,28.8,29,0,
Mauritania,0,0,0,0,0,0,0,0,43.9,0,0,0,0,0,50.1,0,37.7,0,0,0,0,39,0,0,0,40.2,0,0,0,35.7,0,0,0,0,0,32.6,0,
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7,0,0,0,0,0,35.8,0,0,0,
Mexico,0,0,0,0,0,48.9,0,0,0,0,0,0,0,49.6,0,50.3,0,48.2,0,48.7,0,51.4,0,49,0,48.3,48.9,47.7,0,44.6,0,45.3,0,45.4,0,45.8,0,43.4
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4,0,0,0,0,0,0,0,40.1,0,0,
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9,39.5,42.6,36.4,38,35.8,34.9,35,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8,27,26.3
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2,0,0,30.3,0,0,0,32.9,0,0,0,0,35.8,0,0,33.1,33.9,33.8,0,32,0,32.3
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2,30,31.4,30.5,31,28.9,30.8,32.3,32.4,31.9,0,
Morocco,0,0,0,0,0,39.2,0,0,0,0,0,39.2,0,0,0,0,0,0,0,39.5,0,40.6,0,0,0,0,0,40.7,0,0,0,0,0,0,0,0,0,
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.6,0,0,0,0,0,47,0,0,0,0,0,45.6,0,0,0,0,0,54,0,
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.1,
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.3,0,0,0,0,0,61,0,0,0,0,0,0,
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,0,0,0,0,0,0,0,43.8,0,0,0,0,0,0,32.8,0,0,0,0,0,
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,29,30,29.6,29.3,27.9,27.8,27.7,27.6,28.1,28.6,29.3,
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.4,0,0,0,0,54.4,0,0,52.9,0,0,0,48.8,0,0,0,43.9,0,0,0,0,46.2,0,
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1,0,41.5,0,0,0,0,0,0,0,0,0,0,44.4,0,37.3,0,0,0,31.5,0,0,34.3,0,
Nigeria,0,0,0,0,0,0,38.7,0,0,0,0,0,0,45,0,0,0,51.9,0,0,0,0,0,0,40.1,0,0,0,0,0,43,0,0,0,0,0,0,
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,31.6,30.6,26.4,27.1,27,26.2,25.7,25.3,25.7,26.4,26.8,27.5,
Pakistan,0,0,0,0,0,0,0,0,33.3,0,0,33.2,0,0,0,0,0,28.7,0,33.1,0,0,30.4,0,0,32.5,32.7,0,31.6,0,0,29.8,30.9,0,30.7,0,0,
Palestine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34.7,34,35.6,0,34.5,35.3,34.4,0,0,0,0,
Panama,48.7,0,0,0,0,0,0,0,0,0,58.9,0,58.2,0,0,0,57.8,0,58.2,57.5,56.5,56.8,56.9,56.2,55.8,54.9,53.9,54.7,52.8,53.4,51.9,51.7,51.4,51.8,51.5,50.6,50.8,50.4
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.4,0,0,0,0,0,0,0,0,0,0,0,0,41.9,0,0,0,0,0,0,
Paraguay,0,0,0,0,0,0,0,0,0,0,0,40.8,0,0,0,0,58.2,0,54.9,0,54.6,0,54.6,57.3,54.9,52.3,51.4,53,53,50.7,49.1,51,52.3,47.6,47.9,50.7,47.6,47.9
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7,56.1,56.3,49.4,51.5,53.8,53.5,50.3,50.8,50.5,50.4,47.8,47.3,45.7,44.9,44.7,44.1,43.4,43.5,43.8
Philippines,0,0,0,0,0,0,41,0,0,40.7,0,0,43.8,0,0,42.9,0,0,46,0,0,42.8,0,0,41.5,0,0,42.9,0,0,41.8,0,0,42.2,0,0,40.1,
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,0,0,32.7,0,32.3,32.6,33,32.8,34.1,34.9,35.4,34.5,33.7,33.5,33.7,33.6,33.2,32.8,32.4,32.5,32.1,31.8,
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7,38.9,38.5,38.1,36.7,36.6,34.9,35.8,36.3,36,36.2,35.6,35.5,
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1,29.4,29.3,29.4,30.2,29.9,30,29.8,30.5,30.2,29.6,28.2,28.2,27.2,27.3,27.5,0,0,28.3
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4,0,0,46.1,38.4,38.1,37.4,37.1,36.9,37.3,40,40.3,41.3,41,42.3,41.6,39.8,39.5,39.7,40.7,40.9,39.9,37.7,
Rwanda,0,0,0,0,0,28.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,0,0,0,0,52,0,0,0,0,51.3,0,0,50.4,0,0,
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1,0,0,0,0,0,0,0,0,0,30.8,0,0,0,0,0,
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,54.1,0,0,41.4,0,0,0,0,0,0,41.2,0,0,0,39.2,0,0,0,0,0,40.3,0,0,0,0,
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32.8,35.5,36.5,29.7,28.7,27.6,28,29,0,0,29,0,28.5,
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8,0,0,
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,0,0,0,0,0,0,0,34,0,0,0,0,
Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,0,0,0,0,0,0,0,27.1,29.3,25.8,24.7,26,27.2,27.3,26.5,26.1,28.1,26.1,26.5,
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2,0,0,0,0,0,0,0,0,0,0,24.8,24.6,24.4,24.4,23.7,24.8,24.9,24.9,25.6,26.2,25.7,25.4,
