country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
New Zealand,0,0,0,0,0.61,0,0,0.64,0,0.48,0,0.55,0,0.77,0,0.98,0,1.09,0,1.47,0,1.77,0,1.71,0,1.4
Nicaragua,0,0.69,0,0,0.62,0,0,0.47,0,0.62,0,0.54,0,0.69,0,0.67,0,0.87,0,1.09,0,1.23,0,1.18,0,0.91
Niger,0.94,0.92,0,0,0.79,0,0,0.76,0,0.68,0,0.77,0,1.02,0,1.14,0,0.99,0,1.07,0,1.12,0,1.09,0,0.88
Nigeria,0.05,0.02,0,0,0.13,0,0,0.13,0,0.27,0,0.2,0,0.39,0,0.51,0,0.59,0,0.44,0,0.62,0,0.56,0,0.46
North Korea,0,0,0,0,0,0,0,0.73,0,0.55,0,0.55,0,0.78,0,0.71,0,0.76,0,0,0,0,0,0.94,0,0.58
Norway,0,0,0,0,1.33,0,0,1.21,0,1.19,0,1.23,0,1.61,0,1.8,0,1.63,0,2.12,0,2.53,0,2.27,0,1.78
Oman,0,0,0,0,0,0,0,0.31,0,0.31,0,0.31,0,0.31,0,0.31,0,0.31,0,0.31,0,0.31,0,0.31,0,0.45
Pakistan,0,0,0,0,0.47,0,0,0.46,0,0.53,0,0.52,0,0.62,0,1.01,0,0.84,0,0.86,0,1.14,0,0.94,0,0.79
Palestine,0,0,0,0,0,0,0,0.86,0,1.08,0,0.99,0,1.17,0,1.29,0,1.34,0,1.71,0,1.87,0,1.77,0,1.54
Panama,0,0.43,0,0,0,0,0,0.41,0,0.53,0,0.51,0,0.54,0,0.7,0,0.67,0,0.85,0,1.05,0,0.96,0,0.74
Papua New Guinea,0,0,0,0,0,0,0,0.41,0,0.53,0,0,0,0.94,0,0,0,0.94,0,0,0,0,0,1.36,0,
Paraguay,0,0.43,0,0,0.44,0,0,0.47,0,0.72,0,0.56,0,0.62,0,0.97,0,1.17,0,1.28,0,1.74,0,1.59,0,1.04
Peru,0,0.56,0,0,0.68,0,0,0.55,0,0.8,0,0.74,0,1.12,0,1.22,0,1.42,0,1.41,0,1.63,0,1.46,0,0.99
Philippines,0.4,0,0,0,0.34,0,0,0.34,0,0.37,0,0.35,0,0.52,0,0.76,0,0.91,0,1.05,0,1.25,0,1.05,0,0.86
Poland,0,0,0,0,0.55,0,0,0.54,0,0.76,0,0.83,0,1.2,0,1.3,0,1.43,0,1.57,0,1.74,0,1.42,0,1.07
